"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Mfr #","Mouser","Unit Price"
"A1","1","Electrosmith_Daisy_Seed_Rev4","","","","Module:Electrosmith_Daisy_Seed","","",""
"C1,C2","2","470nF","","","","Capacitor_SMD:C_0805_2012Metric","GCJ21BL8EH474KA07L ","https://www.mouser.com/ProductDetail/Murata-Electronics/GCJ21BL8EH474KA07L?qs=sGAEpiMZZMvsSlwiRhF8qtsBU8Zhqm2RkWUxZjxhKpMAWTwu0bd%252B2A%3D%3D","0.34"
"C3,C4,C7","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric","0805YC104M4T2A ","https://www.mouser.com/ProductDetail/KYOCERA-AVX/0805YC104M4T2A?qs=f21FSZc47PigNiQmYVYs%252Bg%3D%3D","0.27"
"C5,C6","2","100uF","","","","EEE1AA101SP:CAP_EEE1AA101SP","EEE-1AA101SP ","https://www.mouser.com/ProductDetail/Panasonic/EEE-1AA101SP?qs=ANJC8C65Mw4yoTVRpslT7g%3D%3D","0.39"
"D1","1","SD103AWS","","","","SD103AWS-7-F:SOD2513X120N","SD103AWS-7-F ","https://www.mouser.com/ProductDetail/Diodes-Incorporated/SD103AWS-7-F?qs=yDXQ%2Fb33kn1tCz%252Bb09bzhg%3D%3D&srsltid=AfmBOoq2euaRLXseCRsq3TJFxIlv_3bRXb-26hki34GPh4RD6pkumH4v","0.28"
"D2,D3","2","CLVBA-FKA-CAEDH8BBB7A363","","","","SOL150P350X210-4N:SOL150P350X210-4N","","",""
"J1","1","MIDI_JACK_CONN","","","","SJ2-35863B1-SMT-TR:SJ235863B1SMTTR","SJ2-35863B1-SMT-TR ","https://www.mouser.com/ProductDetail/Same-Sky/SJ2-35863B1-SMT-TR?qs=DXv0QSHKF4zAGEylbw6csg%3D%3D&srsltid=AfmBOorv2xjA_jVMB9Gcu6ACHOMzXcHH2pW1QJdrjCPUVCVdq-2EAnQ_","1.27"
"J2","1","AUDIO_IN_JACK_CONN","","","","SJ2-35863B1-SMT-TR:SJ235863B1SMTTR","SJ2-35863B1-SMT-TR ","https://www.mouser.com/ProductDetail/Same-Sky/SJ2-35863B1-SMT-TR?qs=DXv0QSHKF4zAGEylbw6csg%3D%3D&srsltid=AfmBOorv2xjA_jVMB9Gcu6ACHOMzXcHH2pW1QJdrjCPUVCVdq-2EAnQ_","1.27"
"J3","1","AUDIO_OUT_JACK_CONN","","","","SJ2-35863B1-SMT-TR:SJ235863B1SMTTR","SJ2-35863B1-SMT-TR ","https://www.mouser.com/ProductDetail/Same-Sky/SJ2-35863B1-SMT-TR?qs=DXv0QSHKF4zAGEylbw6csg%3D%3D&srsltid=AfmBOorv2xjA_jVMB9Gcu6ACHOMzXcHH2pW1QJdrjCPUVCVdq-2EAnQ_","1.27"
"J4","1","HEADPHONES_JACK_CONN","","","","SJ2-35863B1-SMT-TR:SJ235863B1SMTTR","SJ2-35863B1-SMT-TR ","https://www.mouser.com/ProductDetail/Same-Sky/SJ2-35863B1-SMT-TR?qs=DXv0QSHKF4zAGEylbw6csg%3D%3D&srsltid=AfmBOorv2xjA_jVMB9Gcu6ACHOMzXcHH2pW1QJdrjCPUVCVdq-2EAnQ_","1.27"
