Item,Ref Des,Qty,Manufacturer,Description / Value,Package,Type
1,"C3, C4, C5, C6, C7, C8, C9, C11, C14, C15",10,0402YC104KAT2A,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,SMD
2,"C1, C2",2,0805YC106KAT2A,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,SMD
3,"C12, C13",2,C0402C105K9PAC,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,SMD
4,"C16, C17",2,C0402C100J3GACAUTO,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,SMD
5,"R1, R5, R6",3,CRT0402-BY-1001GLF,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,SMD
6,"R3, R4",2,RCS040227R0FKED,27R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,SMD
7,R2,1,,DNP,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,DNP
8,D1,1,IN-S42BTR,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,SMD
9,U1,1,NCP1117IST33T3G,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,SMD
10,U2,1,SC0914(7),RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,SMD
11,U3,1,W25Q128JVSIM,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,SMD
12,Y2,1,ABM8-272-T3,ABM8-272-T3,Crytal_ABM8-272-T3,SMD
13,"J3, J4",2,,Conn_01x15,PinHeader_1x15_P2.54mm_Vertical,DNP
14,J1,1,,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,DNP
15,J2,1,10118194-0001LF,USB_Micro,USB_B_Micro_Amphenol,SMD
16,J5,1,,SLink_Conn,PinHeader_1x03_P2.54mm_Vertical,DNP
