Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Mfr #,Mouser,Unit Price
"C1,C2,C3,C4,C6,C8,C13,C14,C17,C22,C24,C26",12,0.1uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C0805C104K4JACAUTO,https://www.mouser.com/ProductDetail/KEMET/C0805C104K4JACAUTO?qs=sGAEpiMZZMukHu%252BjC5l7YcDEhfSOZOpN7J4S%2FUXKmJA%3D,0.71
C7,1,2.2uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C0805X225K3RACAUTO,https://www.mouser.com/ProductDetail/KEMET/C0805X225K3RACAUTO?qs=sGAEpiMZZMukHu%252BjC5l7YT%2FM%252BmyCc%2FqmxcYow7XY82k%3D,0.86
C9,1,10uF,,,,Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_HandSolder,TPSC106M025R0500 ,https://www.mouser.com/ProductDetail/KYOCERA-AVX/TPSC106M025R0500?qs=xw8XwkEH2YUFzmRLhQ4HDw%3D%3D,0.9
"C15,C16,C18,C23,C25",5,10uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C0805C106K4PACTU,https://www.mouser.com/ProductDetail/KEMET/C0805C106K4PACTU?qs=sGAEpiMZZMukHu%252BjC5l7YSC4XbKrDVLQg534tyUdiI4%3D,0.16
"C19,C20",2,22p,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,08055C220KAT2A,https://www.mouser.com/ProductDetail/KYOCERA-AVX/08055C220KAT2A?qs=%252BdQmOuGyFcHsL9WawpqPNw%3D%3D,0.16
C21,1,0.01uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,KAF21BR72A103JT,https://www.mouser.com/ProductDetail/KYOCERA-AVX/KAF21BR72A103JT?qs=Jm2GQyTW%2Fbiu9dbnlAVfgQ%3D%3D,0.1
D1,1,WS2812B,,,,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,FZ2812-5050,Digikey Part,0.66
D2,1,USB_LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150080BS75000,https://www.mouser.com/ProductDetail/710-150080BS75000,0.19
D3,1,3V3_LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150080BS75000,https://www.mouser.com/ProductDetail/710-150080BS75000,0.19
D4,1,USER_LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150080BS75000,https://www.mouser.com/ProductDetail/710-150080BS75000,0.19
D5,1,5V_LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150080BS75000,https://www.mouser.com/ProductDetail/710-150080BS75000,0.19
F1,1,PTCSMD,,,,Fuse:Fuse_1812_4532Metric,MF-MSMF050-2 ,https://www.mouser.com/ProductDetail/652-MF-MSMF050-2,0.35
J1,1,Conn_01x04,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,,
J2,1,CONN_MPU6050,,,,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,,,
J3,1,USB_C_Receptacle_USB2.0_14P,,,,Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,UJ20-C-H-C-4-SMT-TR ,https://www.mouser.com/ProductDetail/Same-Sky/UJ20-C-H-C-4-SMT-TR?qs=i8QVZAFTkqTaeFkL507bBA%3D%3D,0.57
J4,1,ESP_Conn,,,,Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical,,,
J5,1,BATT_CONN,,,,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,
J6,1,M1_CONN,,,,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,
J7,1,M2_CONN,,,,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,
J8,1,ENCODER_CONN,,,,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,
J9,1,MT6701_CONN,,,,Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,,
